uuid,adm4_pcode,date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en,location1.brgy_total_area
osmpa001c1f,ph063022094,01/01/2022,1191.763806,492.5523441,205.1428499,1542.728753,439.9464809,1208.170454,Loboc-Lapuz,1.4025
osmpa001c1e,ph063022171,01/01/2022,2489.769188,0,0,1422.932785,487.0503671,2486.115599,So-Oc,2.2546
osmpa001c1d,ph063022106,01/01/2022,549.0128561,1257.993888,190.8953745,1354.125648,1049.280498,550.2480392,Marcelo H. Del Pilar,0.2982
osmpa001c1c,ph063022073,01/01/2022,572.963448,208.9985085,0,1153.456605,15.07104081,1099.099458,Jalandoni Estate-Lapuz,0.1296
osmpa001c1b,ph063022157,01/01/2022,0,262.3308001,0,1046.700397,988.9158751,40.57707672,San Nicolas,0.1468
osmpa001c1a,ph063022093,01/01/2022,177.2228722,816.4793883,108.1084208,511.9071147,1063.703937,2072.573809,Lopez Jaena (Jaro),0.048
osmpa001c19,ph063022170,01/01/2022,670.1250238,1197.490674,232.6131102,862.0946183,1102.779243,1739.069007,Simon Ledesma,0.06
osmpa001c18,ph063022062,01/01/2022,490.7964024,674.5047374,223.7116138,687.6246052,196.0388837,714.3074257,Gloria,0.0235
osmpa001c17,ph063022121,01/01/2022,1541.851732,1264.491636,0,1417.220767,802.0933478,2328.391115,Obrero-Lapuz,0.3138
osmpa001c16,ph063022117,01/01/2022,1484.368631,728.6285985,0,978.5443096,0,1571.786375,North Fundidor,0.6989
osmpa001c15,ph063022139,01/01/2022,116.1630176,33.72599772,5.043604959,1007.027106,826.5229773,162.1950887,Railway,0.0664
osmpa001c14,ph063022091,01/01/2022,758.8491565,1455.37437,19.64116128,515.9099255,538.0863304,1457.7689,"Libertad, Santa Isabel",0.0458
osmpa001c13,ph063022124,01/01/2022,252.3702554,782.2448101,28.55899797,1298.937376,592.8689284,501.0155097,Our Lady Of Lourdes,0.2331
osmpa001ba3,ph063022169,01/01/2022,1106.23261,1456.962614,3.784707122,370.0121006,668.4168114,2105.407242,Santo Rosario-Duran,0.1146
osmpa001ba2,ph063022069,01/01/2022,328.5210023,369.9185419,224.9324407,376.0384527,3.418248171,648.5290961,Hipodromo,0.0535
osmpa001ba1,ph063022168,01/01/2022,4271.679324,0,0,3768.676462,159.3043402,4386.037707,Santo Niño Sur,0.9807
osmpa001b9f,ph063022188,01/01/2022,1454.19791,1591.671244,78.57772942,682.3476641,940.1287259,2371.851073,Veterans Village,0.2329
osmpa001d4c,ph063022030,01/01/2022,2281.409121,179.9184536,0,594.0782579,1105.536719,2507.19355,Calahunan,1.6467
osmpa001c26,ph063022001,01/01/2022,5223.833341,342.5954503,26.16615817,4378.310136,0,5285.441107,Santa Cruz,0.5633
osmpa001d4e,ph063022199,01/01/2022,1430.989268,1691.466491,449.9865173,1819.156195,2267.744089,1535.329026,San Isidro (La Paz),0.4262
osmpa001e6a,ph063022007,01/01/2022,449.318491,796.0776927,77.81731563,404.8717068,290.1774037,1466.549341,Arsenal Aduana,0.0773
osmpa001e69,ph063022120,01/01/2022,1679.237814,0,0,0,340.2307745,2319.240489,Oñate De Leon,0.5055
osmpa001e68,ph063022017,01/01/2022,528.7209311,774.0983429,161.4764696,881.586539,510.5496394,368.745705,Baybay Tanza,0.2543
osmpa001e67,ph063022135,01/01/2022,356.8555528,1330.542935,0,784.6406962,1834.403851,2173.425148,Quintin Salas,0.8159
osmpa001e66,ph063022200,01/01/2022,350.9920964,615.9273453,396.7273078,664.0242412,228.9041717,854.8116663,San Jose (City Proper),0.0304
osmpa001df7,ph063022050,01/01/2022,0,605.9586492,0,63.93856894,759.2602256,2104.939504,Dungon A,0.2111
osmpa001df6,ph063022086,01/01/2022,1559.757103,3112.488224,0,1811.187027,898.5153372,4948.387299,Lanit,2.4507
osmpa001df5,ph063022101,01/01/2022,53.36796234,258.3000706,0,1211.360784,1092.092163,0,Magdalo,0.1045
osmpa001e6c,ph063022049,01/01/2022,484.9885595,868.3437197,190.2518045,637.0196028,667.7085026,2913.764437,Dungon,0.9518
osmpa001df4,ph063022087,01/01/2022,950.5137464,490.3191139,219.32316,1183.495347,249.745583,1562.681178,Lapuz Norte,0.3448
osmpa001df2,ph063022129,01/01/2022,457.2347181,354.4589075,148.9152676,791.2780355,1253.251369,557.9287618,Poblacion Molo,0.066
osmpa001df1,ph063022019,01/01/2022,1532.592005,4102.029778,0,0,902.5998653,4028.368148,Bito-On,1.6052
osmpa001df0,ph063022056,01/01/2022,368.0438392,1080.916626,15.71835777,275.2905398,553.5960977,1627.218896,Fajardo,0.0566
osmpa001def,ph063022076,01/01/2022,207.2543202,877.7083159,59.47029103,1706.702647,1097.93895,226.1436817,Javellana,0.0294
osmpa001dee,ph063022128,01/01/2022,573.6824926,909.206213,158.8684357,344.8621814,260.3223763,2419.864291,Phhc Block 22 Nha,0.1994
osmpa001ded,ph063022065,01/01/2022,680.6511425,575.7373003,326.2170191,1034.05437,992.0940052,853.7714794,Habog-Habog Salvacion,0.1306
osmpa001dec,ph063022051,01/01/2022,51.50746705,380.79482,0,398.8211084,612.6504933,2549.054659,Dungon B,0.5315
osmpa001deb,ph063022104,01/01/2022,550.9014236,355.2842011,98.19836646,411.4836838,190.1169692,245.3317679,Malipayon-Delgado,0.0245
osmpa001df3,ph063022173,01/01/2022,1309.483124,441.928912,110.9141906,506.0500446,509.6647627,1357.412294,South San Jose,0.2666
osmpa001e6d,ph063022031,01/01/2022,2853.976469,630.9254337,0,2576.452849,0,2983.411431,Calaparan,0.3253
osmpa001e6e,ph063022107,01/01/2022,708.1824759,1065.429711,0,186.6692017,161.1134982,1468.564479,Maria Clara,0.0596
osmpa001e6f,ph063022044,01/01/2022,758.3317855,1412.541289,265.0360448,719.2563842,819.7733737,1472.232142,Democracia,0.0722
